Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2002";"2011";
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 3-6";"";"osoba";13306;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 7-14";"";"osoba";35886;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 15-17";"";"osoba";17410;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 18-24";"";"osoba";28899;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"ogółem";"";"osoba";193035;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu ogółem";"";"osoba";141477;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 0-2";"";"osoba";13349;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 3-6";"";"osoba";18989;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 7-14";"";"osoba";48509;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 15-17";"";"osoba";22663;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 18-24";"";"osoba";37967;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"ogółem";"";"osoba";132261;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu ogółem";"";"osoba";104641;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 0-2";"";"osoba";9140;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 3-6";"";"osoba";13306;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 7-14";"";"osoba";35886;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 15-17";"";"osoba";17410;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 18-24";"";"osoba";28899;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"partnerzy z dziećmi";"ogółem";"";"osoba";4102;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"partnerzy z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu ogółem";"";"osoba";3494;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"partnerzy z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 0-2";"";"osoba";610;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"partnerzy z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 3-6";"";"osoba";665;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"partnerzy z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 7-14";"";"osoba";1301;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"partnerzy z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 15-17";"";"osoba";399;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"partnerzy z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 18-24";"";"osoba";519;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotne matki";"ogółem";"";"osoba";50009;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotne matki";"dzieci do lat 24 pozostające na utrzymaniu ogółem";"";"osoba";29929;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotne matki";"dzieci do lat 24 pozostające na utrzymaniu w wieku 0-2";"";"osoba";3354;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotne matki";"dzieci do lat 24 pozostające na utrzymaniu w wieku 3-6";"";"osoba";4688;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotne matki";"dzieci do lat 24 pozostające na utrzymaniu w wieku 7-14";"";"osoba";10321;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotne matki";"dzieci do lat 24 pozostające na utrzymaniu w wieku 15-17";"";"osoba";4307;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotne matki";"dzieci do lat 24 pozostające na utrzymaniu w wieku 18-24";"";"osoba";7259;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotni ojcowie";"ogółem";"";"osoba";6663;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotni ojcowie";"dzieci do lat 24 pozostające na utrzymaniu ogółem";"";"osoba";3413;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotni ojcowie";"dzieci do lat 24 pozostające na utrzymaniu w wieku 0-2";"";"osoba";245;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotni ojcowie";"dzieci do lat 24 pozostające na utrzymaniu w wieku 3-6";"";"osoba";330;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotni ojcowie";"dzieci do lat 24 pozostające na utrzymaniu w wieku 7-14";"";"osoba";1001;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotni ojcowie";"dzieci do lat 24 pozostające na utrzymaniu w wieku 15-17";"";"osoba";547;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg typów rodzin i grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"samotni ojcowie";"dzieci do lat 24 pozostające na utrzymaniu w wieku 18-24";"";"osoba";1290;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"ogółem";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"jednorodzinne ogółem";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"jednorodzinne 2 osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"jednorodzinne 3 osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"jednorodzinne 4 i więcej osób";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"dwurodzinne";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"trzy i więcej rodzinne";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"nierodzinne ogółem";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"nierodzinne 1 osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"nierodzinne 2 osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"nierodzinne 3 osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe ogółem (Wymiary: Rodzaje gospodarstw)";"nierodzinne 4 i więcej osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"gospodarstwa";"ogółem";"";"gosp.";268645;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"gospodarstwa";"1 osoba";"";"gosp.";92281;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"gospodarstwa";"2 osoby";"";"gosp.";70088;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"gospodarstwa";"3 osoby";"";"gosp.";54062;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"gospodarstwa";"4 osoby";"";"gosp.";37407;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"gospodarstwa";"5 osób i więcej";"";"gosp.";14807;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"ludność w gospodarstwach";"ogółem";"";"osoba";624343;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"ludność w gospodarstwach";"1 osoba";"";"osoba";92281;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"ludność w gospodarstwach";"2 osoby";"";"osoba";140176;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"ludność w gospodarstwach";"3 osoby";"";"osoba";162186;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"ludność w gospodarstwach";"4 osoby";"";"osoba";149628;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Wyszczególnienie; Liczba osób)";"ludność w gospodarstwach";"5 osób i więcej";"";"osoba";80072;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"ogółem";"ogółem";"gosp.";268645;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"ogółem";"1 osoba";"gosp.";92281;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"ogółem";"2 osoby";"gosp.";70088;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"ogółem";"3 osoby";"gosp.";54062;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"ogółem";"4 osoby";"gosp.";37407;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"ogółem";"5 osób i więcej";"gosp.";14807;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"gospodarstwo mieszkające samodzielnie w mieszkaniu";"ogółem";"gosp.";190396;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"gospodarstwo mieszkające samodzielnie w mieszkaniu";"1 osoba";"gosp.";46996;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"gospodarstwo mieszkające samodzielnie w mieszkaniu";"2 osoby";"gosp.";53612;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"gospodarstwo mieszkające samodzielnie w mieszkaniu";"3 osoby";"gosp.";44418;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"gospodarstwo mieszkające samodzielnie w mieszkaniu";"4 osoby";"gosp.";32149;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"gospodarstwa";"gospodarstwo mieszkające samodzielnie w mieszkaniu";"5 osób i więcej";"gosp.";13221;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"ludność w gospodarstwach";"ogółem";"ogółem";"osoba";624343;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"ludność w gospodarstwach";"ogółem";"1 osoba";"osoba";92281;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"ludność w gospodarstwach";"ogółem";"2 osoby";"osoba";140176;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"ludność w gospodarstwach";"ogółem";"3 osoby";"osoba";162186;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"ludność w gospodarstwach";"ogółem";"4 osoby";"osoba";149628;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"ludność w gospodarstwach";"ogółem";"5 osób i więcej";"osoba";80072;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"ludność w gospodarstwach";"gospodarstwo mieszkające samodzielnie w mieszkaniu";"ogółem";"osoba";487619;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"ludność w gospodarstwach";"gospodarstwo mieszkające samodzielnie w mieszkaniu";"1 osoba";"osoba";46996;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg typu gospodarstwa i liczby osób (Wymiary: Wyszczególnienie; Sposób zamieszkania; Liczba osób)";"ludność w gospodarstwach";"gospodarstwo mieszkające samodzielnie w mieszkaniu";"2 osoby";"osoba";107224;;
