Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Jednostka miary;"2002";
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg grup wieku (Wymiary: Grupy wieku)";"40-49";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg grup wieku (Wymiary: Grupy wieku)";"50-59";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg grup wieku (Wymiary: Grupy wieku)";"60-64";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg grup wieku (Wymiary: Grupy wieku)";"65 i więcej";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"ogółem";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"ogółem";"praca poza rolnictwem, najemna";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"ogółem";"praca poza rolnictwem, na rachunek własny lub z najmu";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"ogółem";"praca w rolnictwie";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"ogółem";"niezarobkowe źródło, emerytura";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"ogółem";"niezarobkowe źródło, renta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"ogółem";"pozostałe niezarobkowe";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"mężczyźni";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"mężczyźni";"praca poza rolnictwem, najemna";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"mężczyźni";"praca poza rolnictwem, na rachunek własny lub z najmu";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"mężczyźni";"praca w rolnictwie";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"mężczyźni";"niezarobkowe źródło, emerytura";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"mężczyźni";"niezarobkowe źródło, renta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"mężczyźni";"pozostałe niezarobkowe";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"kobiety";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"kobiety";"praca poza rolnictwem, najemna";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"kobiety";"praca poza rolnictwem, na rachunek własny lub z najmu";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"kobiety";"praca w rolnictwie";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"kobiety";"niezarobkowe źródło, emerytura";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"kobiety";"niezarobkowe źródło, renta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg płci i głównego źródła utrzymania (Wymiary: Płeć; Źródła utrzymania)";"kobiety";"pozostałe niezarobkowe";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przebywająca czasowo powyżej 2 miesięcy za granicą wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"ogółem";"powyżej 2 miesięcy";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przebywająca czasowo powyżej 2 miesięcy za granicą wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"ogółem";"12 miesięcy i dłużej";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przebywająca czasowo powyżej 2 miesięcy za granicą wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"mężczyźni";"powyżej 2 miesięcy";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przebywająca czasowo powyżej 2 miesięcy za granicą wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"mężczyźni";"12 miesięcy i dłużej";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przebywająca czasowo powyżej 2 miesięcy za granicą wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"kobiety";"powyżej 2 miesięcy";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przebywająca czasowo powyżej 2 miesięcy za granicą wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"kobiety";"12 miesięcy i dłużej";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"ogółem";"ogółem";"osoba";65886;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"ogółem";"inne miejsce w Polsce";"osoba";63099;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"ogółem";"zagranica";"osoba";2787;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"mężczyźni";"ogółem";"osoba";30190;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"mężczyźni";"inne miejsce w Polsce";"osoba";28822;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"mężczyźni";"zagranica";"osoba";1368;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"kobiety";"ogółem";"osoba";35696;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"kobiety";"inne miejsce w Polsce";"osoba";34277;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"kobiety";"zagranica";"osoba";1419;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania w kraju (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"ogółem";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania w kraju (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"ogółem";"inne miejsce w Polsce miasta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania w kraju (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"ogółem";"inne miejsce w Polsce wieś";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania w kraju (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"mężczyźni";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania w kraju (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"mężczyźni";"inne miejsce w Polsce miasta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania w kraju (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"mężczyźni";"inne miejsce w Polsce wieś";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania w kraju (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"kobiety";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania w kraju (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"kobiety";"inne miejsce w Polsce miasta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg płci i poprzedniego miejsca zamieszkania w kraju (Wymiary: Płeć; Poprzednie miejsce zamieszkania)";"kobiety";"inne miejsce w Polsce wieś";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"ogółem";"ogółem";"osoba";65886;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"ogółem";"inne miejsce w Polsce";"osoba";63099;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"ogółem";"zagranica";"osoba";2787;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1989-1992";"ogółem";"osoba";12396;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1989-1992";"inne miejsce w Polsce";"osoba";11568;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1989-1992";"zagranica";"osoba";828;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1993-1995";"ogółem";"osoba";10148;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1993-1995";"inne miejsce w Polsce";"osoba";9546;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1993-1995";"zagranica";"osoba";602;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1996-2002";"ogółem";"osoba";41361;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1996-2002";"inne miejsce w Polsce";"osoba";40119;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1996-2002";"zagranica";"osoba";1242;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"ogółem";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"ogółem";"inne miejsce w Polsce miasta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"ogółem";"inne miejsce w Polsce wieś";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1989-1992";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1989-1992";"inne miejsce w Polsce miasta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1989-1992";"inne miejsce w Polsce wieś";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1993-1995";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1993-1995";"inne miejsce w Polsce miasta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1993-1995";"inne miejsce w Polsce wieś";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1996-2002";"ogółem";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1996-2002";"inne miejsce w Polsce miasta";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność przybyła w latach 1989-2002 wg roku przybycia i poprzedniego miejsca zamieszkania w kraju (Wymiary: Rok przybycia; Poprzednie miejsce zamieszkania)";"1996-2002";"inne miejsce w Polsce wieś";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku (Wymiary: Grupy wieku)";"ogółem";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku (Wymiary: Grupy wieku)";"0-14";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku (Wymiary: Grupy wieku)";"15-19";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku (Wymiary: Grupy wieku)";"20-29";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku (Wymiary: Grupy wieku)";"30-39";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku (Wymiary: Grupy wieku)";"40-49";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku (Wymiary: Grupy wieku)";"50 i więcej";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"ogółem";"ogółem";"osoba";218190;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"ogółem";"praca poza rolnictwem, najemna";"osoba";145015;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"ogółem";"praca poza rolnictwem, na rachunek własny lub z najmu";"osoba";28932;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"ogółem";"praca w rolnictwie";"osoba";1923;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"ogółem";"niezarobkowe źródło, emerytura";"osoba";18616;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"ogółem";"niezarobkowe źródło, renta";"osoba";12233;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"ogółem";"pozostałe niezarobkowe";"osoba";11088;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"0-14";"ogółem";"osoba";82280;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"0-14";"praca poza rolnictwem, najemna";"osoba";58365;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"0-14";"praca poza rolnictwem, na rachunek własny lub z najmu";"osoba";11886;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"0-14";"praca w rolnictwie";"osoba";414;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"0-14";"niezarobkowe źródło, emerytura";"osoba";2405;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"0-14";"niezarobkowe źródło, renta";"osoba";2995;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"0-14";"pozostałe niezarobkowe";"osoba";6072;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"15-19";"ogółem";"osoba";42315;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność utrzymywana wg grup wieku i głównego źródła utrzymania (Wymiary: Grupy wieku; Źródła utrzymania)";"15-19";"praca poza rolnictwem, najemna";"osoba";29506;
